Title,Creator,Publisher,Subject,Spatial Coverage,Bounding Box,Member Of,ID,Identifier,Code
"Linn County, Iowa Open Data Portal",,Iowa--Linn County,County government records,Iowa--Linn County|Iowa,"-91.835,41.860,-91.363,42.299",ba5cc745-21c5-4ae9-954b-72dd8db6815a,03b-19113,http://opendata-linncounty-gis.opendata.arcgis.com,03b-19113
Logan County GIS Data,,Ohio--Logan County,County government records,Ohio--Logan County|Ohio,"-84.015,40.229,-83.520,40.539",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39091,https://logan-county-gis-data-loganco.hub.arcgis.com/,11b-39091
Lorain County GIS Data,,Ohio--Lorain County,County government records,Ohio--Lorain County|Ohio,"-82.348,41.064,-81.877,41.512",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39093,https://data-loraingis.opendata.arcgis.com,11b-39093
"Lyon County, MN Mapping Hub",,Minnesota--Lyon County,County government records,Minnesota--Lyon County|Minnesota,"-96.093,44.196,-95.592,44.630",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27083,https://maps-lyonmn.hub.arcgis.com,05b-27083
MapFlint Data Download,,University of Michigan-Flint,Municipal government records,Michigan--Flint|Michigan,"-83.772,42.946,-83.621,43.079",ba5cc745-21c5-4ae9-954b-72dd8db6815a,07c-04,https://mapflint-umich.opendata.arcgis.com,07c-04
Maryland iMap,,Maryland,State government records,Maryland,"-79.487,37.887,-74.985,39.723",ba5cc745-21c5-4ae9-954b-72dd8db6815a,04a-01,http://data.imap.maryland.gov,04a-01
McLean County GIS,,Illinois--McLean County,County government records,Illinois--McLean County|Illinois,"-89.269,40.281,-88.458,40.756",ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17113-2,https://mcleancounty-mcggis.hub.arcgis.com/,12b-17113-2
McLean County GIS Consortium Open Data,,Illinois--McLean County GIS Consortium,County government records,Illinois--McLean County|Illinois,"-89.269,40.281,-88.459,40.758",ba5cc745-21c5-4ae9-954b-72dd8db6815a,02b-17113,http://www.mcgis.org,02b-17113
Michigan DNR Open Data Portal,Michigan DNR,Michigan,State government records,Michigan,"-90.420,41.700,-82.120,48.310",ba5cc745-21c5-4ae9-954b-72dd8db6815a,06a-02,https://gis-midnr.opendata.arcgis.com,06a-02
Milwaukee County GIS Download,,Wisconsin--Milwaukee County,County government records,Wisconsin--Milwaukee County|Wisconsin,"-88.070,42.842,-87.814,43.193",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55079,https://data-mclio.hub.arcgis.com,10b-55079
