ID,Creator,Creator ID,Resource Type,Temporal Coverage,Date Issued,Date Range,Spatial Coverage,Bounding Box,GeoNames,Date Accessioned,Tags
a962f404-7d14-4290-b66a-e7e544789d2f,"Bien, Julius, 1826-1909|Dinsmore, A. F.|Roeser, C. (Charles), compiler.",fst00014264|null|null,,1878,1878,1878-1878,Ohio,"-84.820,38.403,-80.519,41.978",http://sws.geonames.org/5165418,2021-04-16,sprint-2021-05|2022-creator-sprint|202212bbox|sprint-2021-05
435d19df-9e12-4746-bf1f-3c796cc1aa89,"Dinsmore, A. F.|United States. General Land Office",null|fst00549575,,1889,,1889-1889,Oregon,"-125.000,42.000,-117.000,46.000",,2019-01-16,2022-creator-sprint|sprint-2021-05
ef460441-9bed-4039-a823-0cdee63d2acf,"King, Harry, (Harold G. R.),Hendges, M.|United States. General Land Office",null|fst00549575,,1897,,1897-1897,Oregon,"-125.000,42.000,-116.000,46.500",,2019-01-16,2022-creator-sprint|sprint-2021-05
7e473de4-535a-49de-af07-63c064ec2df8,"Morton, Robert H.|O'Hare, Daniel|United States. General Land Office. Drafting Division.",null|fst02013659|null,,1897,,1897-1897,Washington--Washington State,"-48.000,46.000,-40.000,49.000",,2019-01-16,2022-creator-sprint|sprint-2021-05
76ad2890-753e-46dd-843d-5b8506323a84,,,,,1801,1801-1801,United States,"-96.000,29.000,-66.000,50.000",http://sws.geonames.org/6252001,2021-04-16,sprint-2021-05
fc850bda-fafe-45a0-aede-76ae3fcdf284,"Jansson, Jan, 1588-1664|Jansson, Jan, 1588-1664. Appendix Atlas|Vignaud, Henry, 1830-1922, former owner.",fst00012480|null|null,,approximately 1636,,1636-1636,England-- United Kingdom--Suffolk,"0.33,51.9,1.75,52.53",,2019-01-16,2022-creator-sprint|sprint-2021-05
16b21bfe-d816-4496-9a24-b71cff36660a,,,Road maps|Thematic maps,1925,1925,1925-1925,Michigan--Detroit|Michigan,"-83.288,42.255,-82.910,42.450",http://sws.geonames.org/4990729,2021-04-16,sprint-2021-05|202212bbox|sprint-2021-05
db61ca05-2155-4661-91c5-256e394129d1,"Drayton, T. F. (Lieutenant)|Reed, J. G. (Lieutenant)|United States. Army. Corps of Topographical Engineers|Williams, W. G. (William G.), -1846",null|null|fst00531525|fst01858239,,1835,,1835-1835,New York--New York State,"-78.930,43.000,-78.640,43.340",,2019-01-16,2022-creator-sprint|sprint-2021-05
41186a6b-442c-48af-a911-ad3949113fa3,Harper & Brothers,fst00512133,Cadastral maps|Military maps,1863,1863,1863-1863,Mississippi River|Louisiana,"-90.106,29.218,-89.276,29.822",http://sws.geonames.org/10400307,2021-04-16,sprint-2021-05|2022-creator-sprint|202212bbox|sprint-2021-05
b0d316f0-1f4b-4454-922d-d1067bc23290,"Anderson, John (Surveyor)",null,Road maps,1819?,,1819-1819,United States of America,"-83.77,41.45,-83.28,41.98",,2019-01-16,2022-creator-sprint|sprint-2021-05
200a22e5-70ab-4eea-99cd-21dd146b1db3,"Berrien, John Macpherson, -1877|Rose, E.|United States. Army. Corps of Topographical Engineers",fst02013979|null|fst00531525,,1835,,1835-1835,Michigan--Galien River|Michigan,"-86.757,41.794,-86.730,41.809",,2019-01-16,bbox-verified_2023-02-27|2022-creator-sprint|bboxSprintJune2023|sprint-2021-05
2af45f8d-b618-41a7-85a7-4368345b2d35,"Garnier, F. A., 1803-1863.",,Geological maps|World maps,1860,,1860-1860,World,"-179.99,-89.99,179.99,89.99",,2019-01-16,2022-creator-sprint|-180TO180|sprint-2021-05
28d98b7f-be66-4a2b-b57e-0474889bd662,"Garnier, F. A., 1803-1863.",,Geological maps|World maps,1860,,1860-1860,World,"-179.99,-89.99,179.99,89.99",,2019-01-16,2022-creator-sprint|-180TO180|sprint-2021-05
055ec54f-42b3-47bc-b4f0-87b9a0870567,"Schenk, Peter, 1661-1711",fst01935893,Early maps,approximately 1710,1710,1710-1710,Central America,"-109.2,7.1,-60.23,44.63",,2019-01-16,2022-creator-sprint|sprint-2021-05
12255469-8770-4981-bd5d-482ad0ddc09a,"Goos, Abraham, 1590-1643, engraver|Henneberger, Kaspar|Jansson, Jan, 1588-1664. Atlantis Maioris Appendix, 1630|Vignaud, Henry, 1830-1922, former owner.|Visscher, Claes Jansz., 1586 or 1587-1652",null|null|null|null|null,,1630,,1630-1630,Poland--East Prussia,"18.15,52.95,23.15,55.77",,2019-01-16,2022-creator-sprint|sprint-2021-05
